ID_TRX;Fecha;ID_Cliente;Monto
2203;15/2/2022;1055503011;60,88
5829;15/2/2022;7055082015;42
10168;15/2/2022;7193456014;39,61
13440;15/2/2022;3899811016;63,64
19814;15/2/2022;23818014;58,05
19949;15/2/2022;2100004013;40
20490;15/2/2022;3504988019;20
24295;15/2/2022;7026170014;20
26401;15/2/2022;1268630015;101
27983;15/2/2022;1226862025;50
30571;15/2/2022;2166898019;40
31537;15/2/2022;1028038012;50
34306;15/2/2022;20121024;20
35356;15/2/2022;1419682016;63,92
38481;15/2/2022;2317254013;59,57
39145;15/2/2022;1239318013;42,58
40392;15/2/2022;9584830023;30
42592;15/2/2022;1325897013;40,09
639;16/2/2022;7212405026;40
5110;16/2/2022;49058025;40
12443;16/2/2022;2104521012;71,5
17403;16/2/2022;1117745014;40,22
21115;16/2/2022;3730409038;81,3
22319;16/2/2022;7183170021;49,48
26726;16/2/2022;1055503011;71,06
27249;16/2/2022;1435209059;41
30801;16/2/2022;3673740027;24,01
30809;16/2/2022;21616014;44,98
31806;16/2/2022;12225023;55,45
33259;16/2/2022;9566630052;64,85
34123;16/2/2022;24425033;76,51
4452;17/2/2022;1167373014;36,66
6473;17/2/2022;81769018;40,02
7566;17/2/2022;3788982019;40
7617;17/2/2022;2185943028;74,8
7811;17/2/2022;20719017;13,02
10480;17/2/2022;2249029012;45,4
11140;17/2/2022;68726023;86,3
11447;17/2/2022;3174131023;43,3
13195;17/2/2022;25649029;47,4
14325;17/2/2022;3609778018;60
16138;17/2/2022;2162322014;45,01
16760;17/2/2022;1358357059;35
17224;17/2/2022;1098018029;57,02
20782;17/2/2022;71935025;50,01
23376;17/2/2022;9568170032;53,5
26088;17/2/2022;3746135031;55
26253;17/2/2022;1016378032;52,4
26688;17/2/2022;2205781010;54,76
27099;17/2/2022;3854620014;48,6
31166;17/2/2022;3671255010;20
32237;17/2/2022;3718285012;64,01
32606;17/2/2022;3771410010;78,08
34542;17/2/2022;2340772015;57,62
34584;17/2/2022;58063015;49,91
34688;17/2/2022;2348938014;55,01
35420;17/2/2022;3769152020;50
39154;17/2/2022;3704576010;93,8
42640;17/2/2022;3658293034;30
713;18/2/2022;7079866013;57,01
7265;18/2/2022;7207514022;30
15576;18/2/2022;3396426045;79
23347;18/2/2022;6680035;30
23458;18/2/2022;7055082015;40,02
28831;18/2/2022;7040731015;41
29805;18/2/2022;3813699018;45,01
30533;18/2/2022;3991492020;66,02
32173;18/2/2022;3671255010;5
32207;18/2/2022;3671255010;-5
37115;18/2/2022;1176877023;45
37321;18/2/2022;1312016023;35,5
37423;18/2/2022;1396205021;70,01
39844;18/2/2022;1363641026;50
39939;18/2/2022;2166898019;40
673;19/2/2022;3396426045;66,12
6330;19/2/2022;1167561014;50
7150;19/2/2022;1101897029;70
11674;19/2/2022;3977600034;78,81
18504;19/2/2022;2281901011;40
19688;19/2/2022;1176059026;40
19779;19/2/2022;2323813018;40,17
23501;19/2/2022;1170316018;43,2
24519;19/2/2022;2347141016;54
24617;19/2/2022;2340414014;43,4
28590;19/2/2022;2224627012;40
30435;19/2/2022;1044277026;50
30676;19/2/2022;2353839016;58,72
32297;19/2/2022;1363641026;50
32631;19/2/2022;1075285011;43,78
33107;19/2/2022;3592563013;55
33308;19/2/2022;7164870011;50,32
34057;19/2/2022;2216936025;16,12
34235;19/2/2022;7101334014;22,6
36004;19/2/2022;2190404016;30
37227;19/2/2022;1156857019;81
37899;19/2/2022;1265407021;40
37917;19/2/2022;2343071019;86
38327;19/2/2022;4127111054;35
38424;19/2/2022;7099715018;40
41708;19/2/2022;2202975011;64,61
1557;20/2/2022;1416444030;58
2437;20/2/2022;9575730034;60,3
4437;20/2/2022;2280298013;57,01
9435;20/2/2022;1030073015;60
9565;20/2/2022;2173718010;52,01
9624;20/2/2022;2056325016;30
10212;20/2/2022;1177126022;50
11742;20/2/2022;3367685017;72,65
12192;20/2/2022;1409442025;76,2
16967;20/2/2022;2057826012;40
17926;20/2/2022;1363641026;50
17975;20/2/2022;2232510028;40
19881;20/2/2022;7221105013;40
20810;20/2/2022;1145515017;40
23690;20/2/2022;3390850018;44,6
24208;20/2/2022;2156731014;40
25060;20/2/2022;60809025;40
27530;20/2/2022;3853340028;27,76
28038;20/2/2022;1024739037;32,38
33477;20/2/2022;7098554020;30
33537;20/2/2022;7065407012;51
34952;20/2/2022;3157802012;40
36021;20/2/2022;3431407018;62
36365;20/2/2022;3413689013;38,51
39382;20/2/2022;3489798029;46,21
41413;20/2/2022;7232324017;66,2
41644;20/2/2022;2014029015;69,8
42440;20/2/2022;2112777010;39,29
42737;20/2/2022;78300017;46,59
585;21/2/2022;7013158014;40
3573;21/2/2022;2051095010;40
4094;21/2/2022;7203523019;64,75
4482;21/2/2022;1051879037;56,15
9447;21/2/2022;2249029012;40
18622;21/2/2022;3632685024;58,01
18628;21/2/2022;1288334012;88,01
19042;21/2/2022;2162322014;52,6
19998;21/2/2022;1271062016;50
21645;21/2/2022;3671255010;15
